Nombre Exposiciones	Artista(s)	Artistas_std	Nacionalidad	Año de la exposición	mes	Fecha de inicio de la exposición	Fecha de inicio de la exposición según soporte	Fecha de finalización de la exposición según soporte	Duración de la exposición (en días)	Tipo de exposición	Tema	Técnica	Detalles de técnica	Curaduría	Presentación de la exposición	Auspiciador(es)	Autor del material promocional de la exposición	Texto(s) del material promocional de la exposición	Sala de Exposición	Signatura	Documento de soporte	Presidente	Director	Junta Directiva	Junta Asesora	Diseño	Impresión	Obras de la coleción	Códigos de las obras
Exposición de Lucy Tejada 1969	Lucy Tejada	Lucy Tejada	Colombiana	1969	3	7-mar.				Individual		NA		NA					Sala única										
Exposición de Álvaro Barrios	Álvaro Barrios	Álvaro Barrios	Colombiana	1969	3	28-mar.				Individual		Pintura		NA					Sala única										
Exposición de Gianfranco Galante	Gianfranco Galante	Gianfranco Galante	Italiana	1969	4	20-abr.				Individual		NA		NA					Sala única										
Exposición de Rogelio Polesello y Lya Kaufman	Rogelio Polesello,Lia Kaufman	Rogelio Polesello,Lia Kaufman	Argentina	1969	5	9-may.				Colectiva		Pintura,Dibujo		NA		Embajada de Argentina			Sala única	0005p									
Exposición de Enrique Grau 1969	Enrique Grau	Enrique Grau	Panameña-colombiana	1969	5	30-may.				Individual		Pintura		NA		Embajada de Argentina			Sala única										
XX Salón de Artistas Nacionales	Pedro Alcántara, Alberto Betancourt, Magdalena Bravo, Héctor Castro, Francisco Cárdenas, Antonio Grass, Noemí de Greiff, Carlos Granada, Álvaro Herrán, Marlene Hoffman, Manuel Hernández, Silvia Mallarino, Mónica Meira, León Múnera, Raúl Marroquín, Cecilia Mejía, Jairo Mejía, Yolanda Pineda, Ofelia Rodríguez, Eduardo Ramírez Villamizar, Fabio Rodríguez, Carlos Rojas, Ómar Rayo,Nirma Zárate 	Pedro Alcántara, Alberto Betancourt, Magdalena Bravo, Héctor Castro, Francisco Cárdenas, Antonio Grass, Noemí de Greiff, Carlos Granada, Álvaro Herrán, Marlene Hoffmann, Manuel Hernández, Silvia Mallarino, Mónica Meira, León Múnera, Raúl Marroquín, Cecilia Mejía, Jairo Mejía, Yolanda Pineda, Ofelia Rodríguez, Eduardo Ramírez Villamizar, Fabio Rodríguez, Carlos Rojas, Ómar Rayo,Nirma Zárate 	Colombiana	1969	6	21-jun.			16	Colectiva		Varias		NA		Propal S.A.			Sala única	0003f									
Exposición de arte gráfico alemán contemporáneo 	Horst Antes, Klaus Peter Brehmer, Gernot Bubenik, Conrad, Gunter Fruhtrunk, Rupprecht Geiger, Sine Hansen, Horst Janssen, Hosrt Egon Kalinowski, Utz Kampmann, Konrad Klapheck, Axel Knopp, Fritz Kothe, Ferdinand Kriwet, Rainer Kuchenmeister, Uwe Lausen, Arnold Leissler, Thomas Lenk, Heinz Mack, Friederich Meckseper, Herbert Oehm, Wolfang Oppermann, Georg Karl Pfahier, Otto Piene, Lothar Quinte, Werner Schreib, Bernard Schultze, Gunter Uecker, Ursula, Bernd Volkle, Jan Voss, Ludwing Wilding, Lambert Maria Wintersberger,Paul Wunderlich 	Horst Antes, Klaus Peter Brehmer, Gernot Bubenik, Conrad, Gunter Fruhtrunk, Rupprecht Geiger, Sine Hansen, Horst Janssen, Hosrt Egon Kalinowski, Utz Kampmann, Konrad Klapheck, Axel Knopp, Fritz Kothe, Ferdinand Kriwet, Rainer Kuchenmeister, Uwe Lausen, Arnold Leissler, Thomas Lenk, Heinz Mack, Friederich Meckseper, Herbert Oehm, Wolfang Oppermann, Georg Karl Pfahier, Otto Piene, Lothar Quinte, Werner Schreib, Bernard Schultze, Günther Uecker, Ursula, Bernd Volkle, Jan Voss, Ludwing Wilding, Lambert María Wintersberger,Paul Wunderlich 	Alemana	1969	8	12-ago.				Colectiva		Arte Gráfico		NA		Embajada de Alemania,Concejo Alemán de Bellas Artes 	Horst Richter		Sala única	0002c									
Exposición de José Mina 1969	José Mina	José Mina	Colombiana	1969	8	26-ago.			12	Individual		Pintura,Dibujo		NA					Sala única	0006p									
IX Festival de Arte - Salón de Las Américas de Pintura	Mauricio Aguilar (El Salvador), Álvaro Barrios, Santiago Cárdenas, Manuel Guillermo Cantor, Hernando del Villar, Beatriz González, Carlos Granada, Enrique Grau, Manuel Hernández, Álvaro Herrán, Ana Mercedes Hoyos, Luciano Jaramillo, David Manzur, José Mina, Ómar Rayo, Augusto Rivera, Juan Antonio Roda, Carlos Rojas, Bernardo Salcedo, Hernando Tejada, Lucy Tejada (Colombia), Alejandro Obregón (España-Colombia), María Thereza Negreiros (Brasil-Colombia), Jan Bartelsman (Holanda-Colombia), Waldo Balart (Cuba), Arnold Belkin (México), Enrique Castrocid, Juan Downey, Juan Gómez (Chile), Alfredo da Silva, María Luisa Pacheco (Bolivia), Geny Dignac, Fernando Maza, Miguel Ocampo, César Paternosto, Alejandro Puente (Argentina), Luis Molinari (Ecuador), Armando Morales (Nicaragua),Rubens Gerchman (Brasil)	Mauricio Aguilar , Álvaro Barrios, Santiago Cárdenas, Manuel Guillermo Cantor, Hernándo del Villar, Beatriz González, Carlos Granada, Enrique Grau, Manuel Hernández, Álvaro Herrán, Ana Mercedes Hoyos, Luciano Jaramillo, David Manzur, José Mina, Ómar Rayo, Augusto Rivera, Juan Antonio Roda, Carlos Rojas, Bernardo Salcedo, Hernándo Tejada, Lucy Tejada, Alejandro Obregón, María Thereza Negreiros, Jan Bartelsman, Waldo Balart , Arnold Belkin, Enrique Castrocid, Juan Downey, Juan Gómez , Alfredo da Silva, María Luisa Pacheco , Geny Dignac, Fernando Maza, Miguel Ocampo, César Paternosto, Alejandro Puente, Luis Molinari, Armando Morales,Rubens Gerchman 	Varias	1969	9	19-sept.				Colectiva		Pintura		NA		Empresas Municipales de Cali, Banco de la República, Banco de Colombia, Industria de Licores del Valle, Ingenio Manuelita, Banco Cafetero, Ceat General, Laboratorios JGB, Central de Anchicayá, Instituto Colombiano de Seguros Sociales, Beneficencia del Valle, Instituto de Crédito Territorial, Colteger, Celanese de Colombia, Colombiana de Esmaltes, Canada Dry, SENA, Ingenio Río Paila, Ferrocarriles Nacionales, Federación Nacional de Cafeteros, Carvajal S.A., Plaza de Toros de Cali, ASOCAÑA, Colgate Palmolive, Quaker, Igenio Providencia, Marañón, Eternit Pacífico, Gaseosas Postobón, ANDI, Central Castilla, Ultratex, Laboratorios Carlo Erba, Textiles El Cedro, Ingenio Mayagüez, Compañías Tecnoquímicas, CICOLAC, Silva Ltda, Compañía Colombiana de Tabaco, Aluminio Munal, Ferretería Electra, Jaime Upegui, La Garantía, Molinos Dagua, Laboratorios Recamier, Sofía de Urdinola, Inversiones Urdinola, Atila de Colombia, Unión Carbide, Cuéllar Serrano Gómez, Urbanización Gran Limonar, Laboratorios Lafrancol, Banco Comercial Antioqueño, General Metálicas, First National City Bank, Braniff International, Fantasías Femeninas, Panamerican World Airways, Ashe y Cia., Panturismo, CODEMACO, Pagnamenta			Sala única	0003c									
IX Festival de Arte - Salón de Las Américas de Dibujo y Grabado	Rodolfo Abularach (Guatemala), José R. Alicea (Puerto Rico), Emilio Sánchez, José Bermúdez (Cuba), Robert Breer, Jon Carsman, Hsiao Chin, Christo, Walter de Maria, Robert Indiana, Raul Jenkins, Nicholas Krushenick, Sol Lewitt, John Manning, Peter W. Milton, Robert A. Nelson, Loise Nevelsol, Tom O´connor, Robert Smithson, Carlos Summers, William Weege, Tsai Wen Yin (EE.UU.), Santiago Cárdenas, Umberto Giangrandi, Enrique Grau, Carlos Lersundi, Ómar Rayo, Bernardo Salcedo, Lucy Tejada, Anita de Uribe (Colombia), José Luis Cuevas (México), Zulema Damianovich (Argentina), Juan Gómez, Sergio González (Chile),Luis A. Solari (Uruguay)	Rodolfo Abularach , José R. Alicea , Emilio Sánchez, José Bermúdez , Robert Breer, Jon Carsman, Hsiao Chin, Christo, Walter de María, Robert Indiana, Raul Jenkins, Nicholas Krushenick, Sol Lewitt, John Manning, Peter W. Milton, Robert A. Nelson, Loise Nevelsol, Thom O'Connor, Robert Smithson, Carlos Summers, William Weege, Tsai Wen Yin , Santiago Cárdenas, Umberto Giangrandi, Enrique Grau, Carlos Lersundy García, Ómar Rayo, Bernardo Salcedo, Lucy Tejada, Anita de Uribe, José Luis Cuevas , Zulema Damianovich , Juan Gómez, Sergio González Tornero,Luis A. Solari 	Varias	1969	9	Septiembre				Colectiva		Dibujo,Grabado		NA					Sala única	0004c									
Muestra de pintura infantil	Varios	Varios	Colombiana	1969	10	10-oct.			14	Colectiva		Pintura		NA					Sala única										
Exposición de Jan Bartelsman 1969	Jan Bartelsman	Jan Bartelsman	Holandesa-colombiana	1969	11	7-nov.				Individual		Pintura		NA					Sala única										
Exposición de grabado mexicano	Varios	Varios	Mexicana	1969	11	25-nov.				Colectiva		Grabado		NA		Embajada de México			Sala única										
Exposición de Eduardo McEntyre	Eduardo McEntyre	Eduardo Mac Entyre	Argentina	1969	12	15-dic.				Individual		Pintura		NA	Juan Mathé	Embajada de Argentina			Sala única										
Exposición de Gustavo Espinosa	Gustavo Espinosa	Gustavo Espinosa	Colombiana	1970	1	20-ene.				Individual		NA		NA					Sala única	0007p									
Exposición de Feliza Burztyn 1970	Feliza Burztyn	Feliza Bursztyn	Colombiana	1970	2	20-feb.			21	Individual		Escultura		NA					Sala única										
Exposición de Enrique Tábara	Enrique Tábara	Enrique Tábara	Ecuatoriana	1970	4	3-abr.				Individual		Pintura		NA		Galería Siglo XX de Quito			Sala única										
Exposición de Pedro Alcántara 1970	Pedro Alcántara	Pedro Alcántara	Colombiana	1970	5	22-may.				Individual		Pintura		NA					Sala única										
El Hombre y sus Pensamientos a través del Arte	Hans Erni, Richard Lindner, David Aronson, Joseph Cornell, Leonard Basquin, Ernest Trova, Milton Glaser, Lee Mullican, René Magritte, W. Lee Savage, Hans Laaps, John Paul Jones, William Baziotes, Ben Sakoguchi, Feliks Topolsky, George Ortman, Jan Stüssy, Miguel García, James Rosenquist, Herbert Bayer, Robert Parker, Petro Friedeberg, Shiro Ikegawa, Ben Shahn, Norman La Liberte, Johannes Itten, Edgard Pillet, Charmion Von Weigand, John Massey, Alain Jacquet, Ralph Eckerstrom, James Davis, Joseph Hirsch, Viktir Natali-Morosow, Abraam James, Robert Osborn, Art Kane, Bruno Manari, Abraham Rattner, Leo Leonni, Joseph Low, Paul Rand, Wynn Bullock, Esther Peck, Antonio Franconi, Robert Brady, Tana Hoban, Hermana Mary Corita, Robert Vickery, Harry Lieberman, Charles Coiner, Gyorgy Kepes, Wing Fong, Clark Richard, Vin Giuliani, Shiko Munakat, José Luis Cuevas, Constantito Nivola, Carol Summers, Hazard Durfee, Laszio Meitner, Matako Kayama, David Walsh, Jean Helion, Xanti Schawinsky, Mohan B. Samant, Jacques Nathan, Jacob Landau, Guen Inokuma, J. Wolfgang Beck, Honore Sharrer, Richard Koslow, Jacob Lawrence, Reginald Pollack, Chen Chi Kwan, Philip Guston, James Gill, Erberto Carboni,Nicholas Ghika	Hans Erni, Richard Lindner, David Aronson, Joseph Cornell, Leonard Basquin, Ernest Trova, Milton Glaser, Lee Mullican, René Magritte, W. Lee Savage, Hans Laaps, John Paul Jones, William Baziotes, Ben Sakoguchi, Feliks Topolsky, George Ortman, Jan Stüssy, Miguel García, James Rosenquist, Herbert Bayer, Robert Parker, Pedro Friedeberg, Shiro Ikegawa, Ben Shahn, Norman La Liberte, Johannes Itten, Edgard Pillet, Charmion Von Weigand, John Massey, Alain Jacquet, Ralph Eckerstrom, James Davis, Joseph Hirsch, Viktir Natali-Morosow, Abraam James, Robert Osborn, Art Kane, Bruno Munari, Abraham Rattner, Leo Leonni, Joseph Low, Paul Rand, Wynn Bullock, Esther Peck, Antonio Frasconi, Robert Brady, Tana Hoban, Hermana Mary Corita, Robert Vickery, Harry Lieberman, Charles Coiner, Gyorgy Kepes, Wing Fong, Clark Richard, Vin Giuliani, Shiko Munakat, José Luis Cuevas, Constantito Nivola, Carol Summers, Hazard Durfee, Laszio Meitner, Matako Kayama, David Walsh, Jean Helion, Xanti Schawinsky, Mohan B. Samant, Jacques Nathan, Jacob Landau, Guen Inokuma, J. Wolfgang Beck, Honore Sharrer, Richard Koslow, Jacob Lawrence, Reginald Pollack, Chen Chi Kwan, Philip Guston, James Gill, Erberto Carboni,Nicholas Ghika	Varias	1970	6	19-jun.			31	Temática-colectiva	Recreación de pensamientos de filósofos célebres	Varias		NA		Cartón de Colombia S.A. 			Sala única	0005c									
Exposición de David Manzur y Augusto Rivera	David Manzur,Augusto Rivera	David Manzur,Augusto Rivera	Colombiana	1970	9	11-sept.				Colectiva		Pintura		NA	 		David Manzur		Sala única	0008p									
Símbolos	Dicken Castro	Dicken Castro	Colombiana	1970	10	16-oct.			17	Individual		Arte Gráfico		NA		Cartón de Colombia S.A.			Sala única	0006c									
XX Festival de Arte - Exposición Panamericana de Artes Gráficas y Plásticas	Rodolfo Abularach, Margot Fanjul (Guatemala), José Alicea, Carlos Irrizarry, Julio Micheli Lebrón, Carlos Irrizarry, Marcos Irrizarry, Domingo López, Antonio Torres Martino, Jaime Romano, José Luis Rochet, José Antonio Torres (Puerto Rico), Antonio Amaral, Ruth Bessoudo Courvoisier, Newton Cavalcanti, Sonia Castro, Sergio de Campos Mello, Saverio Castellano, Vinicio Horta, Servulo Esmeraldo, Fernando Duval, Roberto De Lamonica, HenriqueLeo Henrique Fuhro, Fayga Ostrower, Arthur Piza, Isabel Pons, Rossini Quintas, Ana Leticia, Iazid Thame (Brasil), Rodolfo Ayoroa, María Luisa Pacheco, Óscar Pantoja (Bolivia), Gilberto Aceves, Arnold Belkin, Philip Bragar, Aristides Coen, Arnaldo Coen, José Luis Cuevas, Lilia Carrillo, Roger von Gunten, Luis López Loza, Brian Nissen, Felipe Orlando, Marta Palau, Vicente Rojo (México), Nelida Bruniard, Juan Bordalejo, Antonio Berni, Angélica Caporaso, Geny Dignac, Albino Fernández, Raquel Forner, Martínez Howard, Mauricio Lasansky, Julio Le Parc, Ana María Moncalvo, Liliana Porter, Antonio Seguí, Daniel Zelaya (Argentina), Verónica Bancalari, Roser Bru, Sergio González Tornero, Ana Maria Gantes, JuanDowney, Santos Chávez, Natasha Moreno, Ernesto Muñoz, Guillermo Núñez, Damaso Ogaz, Rodolfo Opazo, Carlos Alberto Peters, Eduardo Vilches, Antonieta Zacarelli (Chile), Hugo Andrade Londoño, Teresa Arango, Carlos Avendaño, Ever Astudillo, Álvaro Barrios, Jan Bartelsman, Marcial Benavides, Fernando Botero, Gerardo Caballero, Luis Caballero, Manuel Guillermo Cantor, Hernando Cárdenas Valencia, Santiago Cárdenas, Manuel Cardona Bolaños, Antonio Caro, José Clároz, José Ceballos, David Consuegra, Cecilia Coronel, Carlos Correa, Germán Chaparro, Francois Dolmetsch, Guillermo Duarte, Carlos Duque, Gustavo Espinoza, Manuel Estrada, María Cristina Franco, Umberto Giangrandi, Aníbal Gil, Leonel Góngora, Beatriz González, Carlos Granada, Marta Granados, Enrique Grau, Alfredo Guerrero, Alberto Gutiérrez, Manuel Hernández, Alfredo Izquierdo, Luciano Jaramillo, Phanor León, Alfredo López, Jaime López Correa, Fabio Lozano, Clemencia Lucena, Arnulfo Luna, Jorge Enrique Madriñán, David Manzur, Álvaro Medina, Evelia Medina, José Mina, Josep Monjalés, Manuel Mora Molina, Mercedes Mosquera, María Thereza Negreiros, Alejandro Obregón, Harold Otero, Luis Paz, Rómulo Polo, Eduardo Ramírez Villamizar, Augusto Rendón, Gerardo Reyes, Agusto Rivera, Francisco Rodríguez, Carlos Rojas, Bernardo Salcedo, Darío Sierra, Cecilia Silva, Hernando Tejada, Lucy Tejada, José Urbach, Mariana Varela, Hernando Vallderruten, Nirma Zárate (Colombia), Cuando Bermúdez, José Bermúdez, Emilio Sánchez (Cuba), Leonard Baskin, Arnold Belkin, Robert Indiana, Jasper Johns, Richard Lindner, Ellsworth Kelly, John McLaughlin, Michael Mazur, Robert Nelson, Tom O´Conor, Robert Rauschemberg, Carol Summers, Ned Truzz, Willliam Weege (EE.UU.), Miguel Bresciano, Luis Camnitzer, Antonio Frasconi, José Gamarra, Hermenegildo Sabat, Luis Solari (Uruguay), Jacobo Borges, Marietta Berman, Carlos Cruz-Díez, Carlos Contramaesre, Luis Chacón, Marisol Escobar, Albino Fernández, Simón Gouverneur, Luis Guevara Moreno, Ómar Granados, Francisco Jung, Gerd Leufert, Mateo Manaure, Luisa Palacios, Régulo, Alirio Rodríguez, Maruja Rolando, Luisa Richter, Jesús Rafael Soto (Venezuela), Hugo Cifuentes, Mario Gordillo, Luis Molinari, Aníbal Villacís (Ecuador), Julio Camino Sánchez, Fernardo de Szyszlo, Francisco Espinoza, Claudio Juárez, Arturo Kubotta, Eduardo Moll (Perú), Armando Morales (Nicaragua), Carlos Poveda (Costa Rica), Sonnylal Rambissoon (Trinidad), Darío Suro (República Dominicana),Julio Augusto Zachrisson (Panamá)	Rodolfo Abularach, Margot Fanjul , José Alicea, Carlos Irrizarry, Julio Micheli Lebrón, Carlos Irrizarry, Marcos Irrizarry, Domingo López, Antonio Torres Martino, Jaime Romano, José Luis Rochet, José Antonio Torres , Antonio Amaral, Ruth Bessoudo Courvoisier, Newton Cavalcanti, Sonia Castro, Sergio de Campos Mello, Saverio Castellano, Vinicio Horta, Servulo Esmeraldo, Fernando Duval, Roberto De Lamonica, Henrique Leo Fuhro, Fayga Ostrower, Arthur Luiz Piza, Isabel Pons, Rossini Quintas, Ana Letycia Quadros, Iazid Thame, Rodolfo Ayoroa, María Luisa Pacheco, Óscar Pantoja , Gilberto Aceves, Arnold Belkin, Philip Bragar, Aristides Coen, Arnaldo Coen, José Luis Cuevas, Lilia Carrillo, Roger von Gunten, Luis López Loza, Brian Nissen, Felipe Orlando, Marta Palau, Vicente Rojo , Nelida Bruniard, Juan Bordalejo, Antonio Berni, Angélica Caporaso, Geny Dignac, Albino Fernández, Raquel Forner, Martínez Howard, Mauricio Lasansky, Julio Le Parc, Ana María Moncalvo, Liliana Porter, Antonio Seguí, Daniel Zelaya , Verónica Bancalari, Roser Bru, Sergio González Tornero, Ana María Gantes, JuanDowney, Santos Chávez, Natasha Moreno, Ernesto Muñoz, Guillermo Núñez, Damaso Ogaz, Rodolfo Opazo, Carlos Alberto Peters, Eduardo Vilches, Antonieta Zacarelli, Hugo Andrade Londoño, Teresa Arango, Carlos Avendaño, Ever Astudillo, Álvaro Barrios, Jan Bartelsman, Marcial Benavides, Fernando Botero, Gerardo Caballero, Luis Caballero, Manuel Guillermo Cantor, Hernándo Cárdenas Valencia, Santiago Cárdenas, Manuel Cardona Bolaños, Antonio Caro, José Claroz, José Ceballos, David Consuegra, Cecilia Coronel, Carlos Correa, Germán Chaparro, Francois Dolmetsch, Guillermo Duarte, Carlos Duque, Gustavo Espinosa, Manuel Estrada, María Cristina Franco, Umberto Giangrandi, Aníbal Gil, Leonel Góngora, Beatriz González, Carlos Granada, Marta Granados, Enrique Grau, Alfredo Guerrero, Alberto Gutiérrez, Manuel Hernández, Alfredo Izquierdo, Luciano Jaramillo, Phanor León, Alfredo López, Jaime López Correa, Fabio Lozano, Clemencia Lucena, Arnulfo Luna, Jorge Enrique Madriñán, David Manzur, Álvaro Medina, Evelia Medina, José Mina, Josep Monjalés, Manuel Mora Molina, Mercedes Mosquera, María Thereza Negreiros, Alejandro Obregón, Harold Otero, Luis Paz, Rómulo Polo Flórez, Eduardo Ramírez Villamizar, Augusto Rendón, Gerardo Reyes, Agusto Rivera, Francisco Rodríguez, Carlos Rojas, Bernardo Salcedo, Darío Sierra, Cecilia Silva, Hernándo Tejada, Lucy Tejada, José Urbach, Maríana Varela, Hernándo Vallderruten, Nirma Zárate , Cuando Bermúdez, José Bermúdez, Emilio Sánchez , Leonard Baskin, Arnold Belkin, Robert Indiana, Jasper Johns, Richard Lindner, Ellsworth Kelly, John McLaughlin, Michael Mazur, Robert Nelson, Thom O'Connor, Robert Rauschenberg, Carol Summers, Ned Truss, William Weege, Miguel Bresciano, Luis Camnitzer, Antonio Frasconi, José Gamarra, Hermenegildo Sabat, Luis Solari , Jacobo Borges, Marietta Berman, Carlos Cruz-Diez, Carlos Contramaestre, Luis Chacón, Marisol Escobar, Albino Fernández, Simón Gouverneur, Luis Guevara Moreno, Ómar Granados, Francisco Jung, Gerd Leufert, Mateo Manaure, Luisa Palacios, Régulo, Alirio Rodríguez, Maruja Rolando, Luisa Richter, Jesús Rafael Soto, Hugo Cifuentes, Mario Gordillo, Luis Molinari, Aníbal Villacís, Julio Camino Sánchez, Fernando de Szyszlo, Francisco Espinoza, Claudio Juárez, Arturo Kubotta, Eduardo Moll , Armando Morales, Carlos Poveda , Sonnylal Rambissoon , Darío Suro ,Julio Augusto Zachrisson 	Varias	1970	11	Noviembre				Colectiva		Varias		NA		Cartón de Colombia S.A.			Sala única	0007c y 0004f									
